obj_id,amount,currency,sender,recipient,type,timestamp
86822a80-fd2e-481b-a572-064bb8bdde2b,33070.0771947208,GBP,ab69ea89-888a-49c5-bc29-2152bf640139,8751ba4a-b53d-4cad-afaa-e6cae0e4a08d,TRANSFER,2021-09-07 14:10:00
2fd4315f-807b-49b7-9b94-cd7c3a7147d0,3806.9101883916524,GBP,44943fd7-30ae-48df-8cc9-e0851c3b85a0,4ba25847-9f04-44d1-99ed-a6c506d7e64f,TRANSFER,2018-04-17 07:48:59
3f00285e-eb48-41e5-99db-dbbc59987eef,1141.6629621084373,GBP,6900aaba-5635-4747-afd9-714f5b2c521d,a161eac4-736d-4950-bdc4-0ead2e6c8638,TRANSFER,2021-01-14 18:25:58
d9684a41-1a2a-4015-a9c4-7e5d56540d09,622.9774963147655,GBP,6a4e60b8-76f5-4676-bb21-e942b3b72779,1bdd38e0-1ab8-49a5-b42d-360201a05ffc,TRANSFER,2022-01-13 18:48:02
bdaa6b01-6fc6-4ec6-9db5-8b5d90c72d55,26489.162040911215,GBP,be1049b6-c04d-4f36-bf65-2e05b0196562,4b944683-e879-4407-8e17-50d683344334,TRANSFER,2021-09-24 13:07:54
6696471a-4ea4-46c2-9677-7de571ebcfae,3646.2037853976017,GBP,d7a1b0c5-5c2b-4ba8-984f-ad391ada3e88,6a4e60b8-76f5-4676-bb21-e942b3b72779,TRANSFER,2022-01-22 11:01:39
b7383535-8a9c-4f01-8f23-b25091b68d20,7168.092142563641,GBP,514449e3-c84c-4d3a-863d-4d85c63597b1,d7a1b0c5-5c2b-4ba8-984f-ad391ada3e88,TRANSFER,2019-09-15 01:14:39
edb48194-2d92-44cf-8a0a-75988e43c53b,3764.693863770093,GBP,b3463f95-fb33-43ca-bc99-a970c9628e49,514449e3-c84c-4d3a-863d-4d85c63597b1,TRANSFER,2021-04-19 04:42:59
f074ede2-1efd-4f11-8bd5-b0590bf3afc8,4559.09597490428,GBP,0651c053-69c5-4c89-a959-04004b1af6ef,c4c6dcd1-dd90-4396-8528-5abc3985b5eb,TRANSFER,2019-10-17 23:44:37
d9ae124c-f79e-4545-87c1-3eb0cccee4d0,2923.4243663605903,GBP,507ae5d8-56fc-4e1c-8ab3-2e68f817bb7b,c067dbcd-7bd4-416d-bfb9-f8dbaef87260,TRANSFER,2020-06-13 08:41:22
0d83927a-4b69-4811-aadb-106a52a34b8a,6125.096623836652,GBP,c5205c51-acf5-4faf-a037-0ec1077fdccc,c5205c51-acf5-4faf-a037-0ec1077fdccc,TRANSFER,2021-08-20 14:17:16
d95db932-dcaa-42a0-84c7-96c94f6d91ea,6745.577324689952,GBP,6559cda5-f22c-4d98-b29b-77b935ffd2da,ff8f4bcd-f192-4935-b702-237a5656073f,TRANSFER,2019-11-15 23:27:35
8b8295b2-76a7-48ee-8368-634252cd5fa8,1764.9825304077724,GBP,8a95cad9-cbc8-402d-92ad-1f3c976e9187,5fe0eb69-d617-4787-ae3e-87311a42df49,TRANSFER,2018-11-09 12:37:12
0a9c0b26-4da3-4d99-9f69-728729fe9a8b,30086.812910321274,GBP,29d31fc1-39b4-4af0-a6e6-8dcf0e3ac665,18f0e0be-6f1b-4af3-a5ea-fabaac3724e4,TRANSFER,2021-08-20 04:15:45
a474fe75-b611-41bd-80e4-e4b7956a8aab,405.58342809566784,GBP,fafbc341-aadf-4e90-aa28-c29de38a94cf,a161eac4-736d-4950-bdc4-0ead2e6c8638,TRANSFER,2022-02-10 00:09:55
45343d48-6518-4c98-a03b-61937ea88b2e,21324.206627870655,GBP,be1049b6-c04d-4f36-bf65-2e05b0196562,8a95cad9-cbc8-402d-92ad-1f3c976e9187,TRANSFER,2021-10-11 10:21:02
7ac4c6ac-653f-4e55-9073-7d1a9abf8335,7851.435124377987,GBP,d7a1b0c5-5c2b-4ba8-984f-ad391ada3e88,313469fe-294b-4672-80ba-a1f220c2a4f0,TRANSFER,2021-07-20 02:35:07
e2b7c391-2e35-4eb6-90cd-8759e165701c,369.9544433379477,GBP,c9145959-f8e5-4b79-bf23-7a998f62dcef,26921fd1-4095-4a1d-9cf0-62a0749ac8d2,TRANSFER,2020-05-03 22:55:57
f231c4d8-70a0-4f80-8e77-fa07cf8ec717,2432.575892515587,GBP,6559cda5-f22c-4d98-b29b-77b935ffd2da,9ad13c27-52ad-4932-b96d-1f714620cc25,TRANSFER,2019-08-30 22:38:55
